text,intent,labels
play football match for myself now,play_game,66
whats on your list right now,lists_query,55
I am bored gossip with me,gossip,39
list all the events in my march calendar,calendar_query,9
check and tell me the address of my friend alex,email_querycontact,26
i want to hear program one on lastfm,play_radio,71
change the lights to green,iot_hue_lightchange,46
Please be quiet,shutup,86
hello there,greet_and_general_check_in,40
report the time in miami,datetime_query,22
Thanks goodbye,courtesygoodbye,16
what is the weather like now,asking_weather,5
How about a joke,jokes,53
tell me about my family,tell_me_about,93
what size is a sperm whale,qa_factoid,76
how much is indian rupee going against us dollar,qa_currency,74
order from dominos,takeaway_order,91
get large pizza with pepperoni,takeaway_order,91
Any gossip,gossip,39
Any gossip,gossip,39
Hello how are you?,courtesygreeting,17
send a giggle my way,general_joke,33
"s1, would you please further clarify me on your answers.",general_explain,32
kickball is over i do not need the alarm for kickball on wednesday evening any longer,alarm_remove,1
please make me coffee without sweetener,iot_coffee,45
id like to put in an order for some chinese food with hunan wok,takeaway_order,91
Enough talking,shutup,86
decrease twenty percent,audio_volume_down,6
good news for economy,tell_me_news,95
yeap right response.,general_affirm,28
Can you prove you are self-aware,selfaware,83
tell me about my day,tell_me_about,93
snooze all today's alarms permanently,alarm_remove,1
will there be snow tomorrow,weather_query,104
i want you to mute,audio_volume_mute,7
what days are my alarms set for,alarm_query,0
remove my four am alarm,alarm_remove,1
twat,swearing,89
tell me a fun joke,tell_me_joke,94
places near me to eat today with my friends,places_near_me,64
stop and try what i've just said once more.,general_repeat,37
Can you suggest some nearby places to visit?,places_near_me,64
anything is fine.,general_dontcare,31
what is the sensex and nifty points for today,qa_stock,78
turn on spotify shuffle,music_settings,59
What do your friends call you?,namequery,60
please tell me it one more again.,general_repeat,37
You are a genious,clever,13
Do you see me?,whoami,106
could you tell me funny things,general_joke,33
what are the names of the lists that i have created,lists_query,55
i like soft rock music,music_likeness,57
remove that event from list,lists_remove,56
twat,swearing,89
Not talking to you,nottalking2u,62
please could you replay.,general_repeat,37
what is my next event,calendar_query,9
I am Bella,greetingresponse,42
You are a very clever girl,clever,13
Do you know what I am saying,understandquery,102
open website youtube.com,open_website,63
whats up with my takeaway,takeaway_query,92
any upcoming events,calendar_query,9
Can you open the pod bay door,podbaydoor,72
check internet speed,check_internet_speed,12
play party songs,play_music,68
train ticket please,transport_ticket,100
power up the plug socket one,iot_wemo_on,52
send mail to bubbles i want to meet her tomorrow at two pm in office,email_sendemail,27
My user is Bella,greetingresponse,42
what is a good rap album that came out this year,music_query,58
what goes with risotto,cooking_recipe,15
did you get last thing i said correctly?,general_confirm,30
tell me about my business,tell_me_about,93
Can you prove you are self aware,selfaware,83
I am Bella,greetingresponse,42
i need the exchange rate for the us dollar and the euro,qa_currency,74
I was not talking to you,nottalking2u,62
let's try again please.,general_repeat,37
twat,swearing,89
open up angry birds,play_game,66
give me the opening stock price of sony,qa_stock,78
please tell me when's my financial meeting,calendar_query,9
"that's cool, thank you very much, olly.",general_praise,35
exchange rate for converting ten dollar to euro,qa_currency,74
send email to <name>,send_email,84
save my opinion on adele's song,music_likeness,57
repeat the current song,music_settings,59
make my iroomba clean the living room,iot_cleaning,44
book a train ticket to mumbai for tomorrow,transport_ticket,100
Do you see anyone in the camera?,whoami,106
show me the answer for this problem two hundred and forty six plus six hundred and fifty four,qa_maths,77
You are a genious,clever,13
tell me a good doctor joke,general_joke,33
capture selfie of,click_photo,14
Can you prove you are self-aware please,selfaware,83
i need to book rajdhani train ticket from mumbai to ahmedabad,transport_ticket,100
buy me a ticket to boston,transport_ticket,100
how cold is it outside,weather_query,104
wake me up in thirty minutes,alarm_set,2
check internet speed of chrome,check_internet_speed,12
what day is it tomorrow,asking_date,3
what can you do,what_can_you_do,105
can you find the the preacher joe show on gospel radio,play_radio,71
fuck off,swearing,89
write this complaint to comcasts customer service twitter,social_post,87
lights out,iot_hue_lighton,49
tell me a joke about getting a first,tell_me_joke,94
show me latest notifications,social_query,88
go to agha station,transport_query,98
I was not talking to you,nottalking2u,62
what is the weather like now,asking_weather,5
places near me to eat today with my family,places_near_me,64
what is the best mexican restaurant in seattle,recommendation_locations,81
play games of xyz 32 bit,play_games,67
Time,timequery,97
i am exhausted from work,general_quirky,36
wikipedia page about sean connery,qa_factoid,76
could you try what you just said one more again.,general_repeat,37
Give me a joke,jokes,53
daily cases,covid_cases,19
latest news update,news_query,61
"Thank you, bye",courtesygoodbye,16
Give me a joke,jokes,53
checkout today third set alarm,alarm_query,0
Can you prove you are self-aware,selfaware,83
what is the weather like tomorrow,asking_weather,5
Do you know any jokes,jokes,53
Can you prove you are self aware please,selfaware,83
entertainment news,news_query,61
Adios,goodbye,38
Can you prove you are self-aware,selfaware,83
can i get a cup of coffee,iot_coffee,45
"you are awesome, thanks.",general_praise,35
fuck,swearing,89
Do you know what time it is?,timequery,97
lower the light level in my house,iot_hue_lightdim,47
