text,intent,label
please pause the song,volume control,19
what time is it tomorrow,asking time,1
what time is it day before tomorrow,asking time,1
should i bring an umbrella today,asking weather,2
what is the current date time group,asking time,1
make me laugh i want to hear a joke,tell me joke,17
tell me about my life,tell me about,16
Hya there,"greet and hello hi kind of things, general check in",7
Great thanks! This is Bella,"greet and hello hi kind of things, general check in",7
tell me about tomorrow,tell me about,16
can you turn that down,volume control,19
set notification from world news,tell me news,18
what cd is this song on,play on youtube,12
will you explain me about the last sentence further please.,tell me about,16
play pacman game with me,play games,11
elaborate me further on your answer please.,tell me about,16
don't get this.,tell me about,16
start music,play on youtube,12
send whatsapp message,send whatsapp message,14
i am bored what can i do today,i am bored,8
Great thanks! This is Bella,"greet and hello hi kind of things, general check in",7
send whatsapp message,send whatsapp message,14
Hello how are you?,"greet and hello hi kind of things, general check in",7
covid cases,covid cases,4
"Thank you, bye",goodbye,6
what's the good news of stock market,tell me news,18
play on youtube,play on youtube,12
play neil sedaka,play on youtube,12
send email to dipesh,send email,13
volume control unmute,volume control,19
did i get an email from sarah,send email,13
tell me about yours,tell me about,16
click photo,click photo,3
joke of the day,tell me joke,17
Hola how are you?,"greet and hello hi kind of things, general check in",7
what is the email sent by this contact read,send email,13
please reduce the speaker volume,volume control,19
good evening,goodbye,6
can you play a game with me,play games,11
start a pot of coffee please,,-1
please make me a cup of coffee,,-1
take screenshot of,take screenshot,15
where is the nearest smoke shop,places near me,10
screen shot,take screenshot,15
Do you know any jokes,tell me joke,17
make me laugh,tell me joke,17
I am feeling bored,i am bored,8
slow the volume speaker,volume control,19
tell me fun joke,tell me joke,17
"Thank you, goodbye",goodbye,6
play baseball with me,play games,11
status of weather,asking weather,2
Do you know what time it is?,asking time,1
Hello,"greet and hello hi kind of things, general check in",7
Bye,goodbye,6
who has covered this song,play on youtube,12
"Thank you, bye",goodbye,6
volume control up,volume control,19
Thanks good bye,goodbye,6
what is new in politics today can you filter out trump news though,tell me news,18
covid cases,covid cases,4
send whatsapp message to,send whatsapp message,14
are there any grocery stores nearby,places near me,10
"Thank you, goodbye",goodbye,6
send whatsapp message about <name>,send whatsapp message,14
take screenshot of,take screenshot,15
hey there,"greet and hello hi kind of things, general check in",7
send email to <name> about <name>,send email,13
i want a coffee now,,-1
where is the pharmacy in leavenworth,places near me,10
How about a joke,tell me joke,17
pull up my party playlist,play on youtube,12
please slow down volume of speaker,volume control,19
send email to dipesh,send email,13
send whatsapp message,send whatsapp message,14
whats the time now,asking time,1
play on youtube,play on youtube,12
your words was not so clear.,tell me about,16
Quiet,goodbye,6
mute the sound,volume control,19
Can you tell me the time?,asking time,1
Be quiet,goodbye,6
What can you assist me with?,what can you do,20
tell me a dad joke,tell me joke,17
send whatsapp message about <name>,send whatsapp message,14
play on youtube,play on youtube,12
send email to <name> about <name>,send email,13
what are my newest emails,send email,13
hello there,"greet and hello hi kind of things, general check in",7
what is the weather like now tomorrow,asking weather,2
hey there,"greet and hello hi kind of things, general check in",7
make the volume lower,volume control,19
What can you assist me with?,what can you do,20
what's good news,tell me news,18
Hello there,"greet and hello hi kind of things, general check in",7
Quiet,goodbye,6
hey there,"greet and hello hi kind of things, general check in",7
lower all volume on speakers please,volume control,19
is it going to be cloudy or sunny today in bangalore,asking weather,2
tell me you,tell me about,16
get contact,send email,13
what is the time in london,asking time,1
download youtube video of minecraft,download youtube video,5
"Thanks for the help, goodbye",goodbye,6
play bad guy on youtube,play on youtube,12
send whatsapp message,send whatsapp message,14
play games of c,play games,11
Hello,"greet and hello hi kind of things, general check in",7
what is the weather today,asking weather,2
shut up,volume control,19
please play the song games by disturbed,play on youtube,12
take screenshot of google,take screenshot,15
what's good news today,tell me news,18
Do you know what time it is?,asking time,1
lower volume,volume control,19
I am Bella,"greet and hello hi kind of things, general check in",7
tell me weather forecast,asking weather,2
What is the weather like today,asking weather,2
Can you recommend some places nearby?,places near me,10
screen shot of <name>,take screenshot,15
screen shot of,take screenshot,15
from which movie is the song,play on youtube,12
hi there,"greet and hello hi kind of things, general check in",7
How are you doing?,"greet and hello hi kind of things, general check in",7
volume control up,volume control,19
send whatsapp message,send whatsapp message,14
covid cases,covid cases,4
tell me a clean joke,tell me joke,17
volume down,volume control,19
Hya there,"greet and hello hi kind of things, general check in",7
volume down,volume control,19
day before tomorrow,asking date,0
places near me to eat today with my friends,places near me,10
tell me news,tell me news,18
play bad guy on youtube,play on youtube,12
i dont want to carry an umbrella will we have rain today,asking weather,2
send email to <name>,send email,13
I am feeling a bit bored,i am bored,8
Tell me a joke,tell me joke,17
what day of the week is june twenty seventh on this year,asking time,1
what is the weather like day before tomorrow,asking weather,2
What are your functions?,what can you do,20
Can you increase the volume?,volume control,19
Hello how are you?,"greet and hello hi kind of things, general check in",7
turn off the bass from the audio,volume control,19
download youtube video of kishore kumar,download youtube video,5
what time is it tomorrow,asking time,1
what about tonight dinner with me,tell me about,16
what song is playing now,play on youtube,12
please alert me to the time,asking time,1
the joke of the day,tell me joke,17
This is Adam,"greet and hello hi kind of things, general check in",7
make me laugh,tell me joke,17
what time is it today,asking time,1
please reduce the speaker volume,volume control,19
what time is it day after tomorrow,asking time,1
Can you lower the volume?,volume control,19
take screenshot,take screenshot,15
play on youtube,play on youtube,12
This is Adam,"greet and hello hi kind of things, general check in",7
it's really loud can you please turn the music down,volume control,19
tell me news day after tomorrow,tell me news,18
what's the news in politics on cnn,tell me news,18
good bye,goodbye,6
Can you turn the volume down?,volume control,19
send whatsapp message about <name>,send whatsapp message,14
send email to,send email,13
compile information on the data breach,send email,13
play games of c,play games,11
Make me laugh,tell me joke,17
i want to hear sleeptime playlist next,play on youtube,12
take screenshot,take screenshot,15
"Thank you, goodbye",goodbye,6
volume control unmute,volume control,19
what's going on with economy,tell me news,18
Stop talking,goodbye,6
please provide world hot news,tell me news,18
show me the picture of the singer,play on youtube,12
Tell me a joke,tell me joke,17
what is the current song called,play on youtube,12
play bad guy on youtube,play on youtube,12
play country music,play on youtube,12
Hello,"greet and hello hi kind of things, general check in",7
what is your name,tell me about,16
Quiet,goodbye,6
Hya there,"greet and hello hi kind of things, general check in",7
covid cases,covid cases,4
let's play space invaders,play games,11
turn off audio,volume control,19
quiet mode on until i am home from work,volume control,19
Quiet,goodbye,6
What is the weather like today,asking weather,2
screen shot of <name>,take screenshot,15
what is the day on twenty third march,asking time,1
this song is composed by whom,play on youtube,12
Tell me a joke,tell me joke,17
please play songs i've purchased and favorited,play on youtube,12
make me laugh i want to hear a joke,tell me joke,17
send whatsapp message to dipesh,send whatsapp message,14
tell me about today,tell me about,16
give me the time in london,asking time,1
tell me a joke about asia,tell me joke,17
download youtube video of minecraft,download youtube video,5
send this message to the family group starts with a,send email,13
I am so bored,i am bored,8
tell me about tomorrow,tell me about,16
volume control increase by 10,volume control,19
what time is it,asking time,1
turn on my michael jackson playlist,play on youtube,12
This is Adam,"greet and hello hi kind of things, general check in",7
download youtube video of <name>,download youtube video,5
What can you assist me with?,what can you do,20
whats up,"greet and hello hi kind of things, general check in",7
tell me a joke about trump and xi,tell me joke,17
hi there,"greet and hello hi kind of things, general check in",7
start coffee machine,,-1
i was not so clear about your answers.,tell me about,16
can you be my best friend,tell me about,16
sound off,volume control,19
I am not entertained,i am bored,8
I am Bella,"greet and hello hi kind of things, general check in",7
"s2, i didn't catch up with you.",tell me about,16
send email to xyz@gmail.com,send email,13
screen shot of <name>,take screenshot,15
tell chris i will be late through email,send email,13
find songs from my big band playlist,play on youtube,12
what time is it today,asking time,1
Great thanks! This is Bella,"greet and hello hi kind of things, general check in",7
play on youtube,play on youtube,12
Great thanks! I am Bella,"greet and hello hi kind of things, general check in",7
"Thank you, bye",goodbye,6
hey there,"greet and hello hi kind of things, general check in",7
tell me a dad joke,tell me joke,17
Can you tell me the time?,asking time,1
Hello,"greet and hello hi kind of things, general check in",7
please begin clash of clans,play games,11
Great thanks! My user is Bella,"greet and hello hi kind of things, general check in",7
don't speak for an hour,volume control,19
places near me to eat today,places near me,10
what is the weather like now tomorrow,asking weather,2
hey,"greet and hello hi kind of things, general check in",7
Can you tell me the time?,asking time,1
what are the lyrics to this song playing,play on youtube,12
volume control down,volume control,19
What can you assist me with?,what can you do,20
tell me about my family,tell me about,16
please help serve me coffee with a no sugar,,-1
"Thank you, goodbye",goodbye,6
which song is this,play on youtube,12
good evening,goodbye,6
i need sport's news,tell me news,18
take screenshot of google,take screenshot,15
i am bored today,i am bored,8
bye,goodbye,6
click selfie of,click photo,3
Bye,goodbye,6
Where can I find something nearby?,places near me,10
What is the weather like today,asking weather,2
what is the update on stock market,tell me news,18
today,asking date,0
whats up,"greet and hello hi kind of things, general check in",7
Great thanks! It is Bella,"greet and hello hi kind of things, general check in",7
covid cases of india,covid cases,4
open website linkedin.com,open website,9
places near me to eat today with my friends,places near me,10
send email to dipesh,send email,13
create a playing teams and play with them,play games,11
Can you tell me the time?,asking time,1
Do you know what time it is?,asking time,1
what's going on in the world,tell me news,18
Hi there,"greet and hello hi kind of things, general check in",7
tell me a nice chinese restaurant,places near me,10
open website wikipedia.com,open website,9
Where can I find,tell me about,16
"Thank you, bye",goodbye,6
what's the good news of stock market,tell me news,18
what is the weather tomorrow,asking weather,2
Good thanks! My user is Adam,"greet and hello hi kind of things, general check in",7
take screenshot of google,take screenshot,15
tell me fun joke,tell me joke,17
covid cases of india past 48 hours,covid cases,4
down the volume,volume control,19
today,asking date,0
daily cases,covid cases,4
Hi there,"greet and hello hi kind of things, general check in",7
what will the weather be like in austin on march sixteenth,asking weather,2
"Thank you, goodbye",goodbye,6
"Thank you, bye",goodbye,6
What actions can you perform?,what can you do,20
i want to play a trivia game,play games,11
send email to <name>,send email,13
Hello hope you are doing well?,"greet and hello hi kind of things, general check in",7
day before tomorrow,asking date,0
Hope you are doing well?,"greet and hello hi kind of things, general check in",7
covid cases of india past 48 hours,covid cases,4
open website wikipedia.com,open website,9
please give me the time,asking time,1
daily cases of india,covid cases,4
good afternoon,goodbye,6
take screenshot,take screenshot,15
What is the weather like today,asking weather,2
send email about <name>,send email,13
mute yourself until five pm,volume control,19
tell me about my life,tell me about,16
Hola how are you?,"greet and hello hi kind of things, general check in",7
i would like to have a cup of coffee,,-1
silent,volume control,19
what time is it in new york city,asking time,1
i am bored what can i do today with my wife,i am bored,8
tell funny things,tell me joke,17
good afternoon,goodbye,6
make me a cup of coffee,,-1
Do you know what time it is?,asking time,1
kill all the frogs you see,tell me about,16
Where can I find something nearby?,places near me,10
send whatsapp message to,send whatsapp message,14
good evening,goodbye,6
what is the weather tomorrow,asking weather,2
is there any rains predicted for bangalore today,asking weather,2
Great thanks! It is Bella,"greet and hello hi kind of things, general check in",7
which store's got the cheapest three pound beef rump,places near me,10
I am Bella,"greet and hello hi kind of things, general check in",7
tell me about history of british india,tell me about,16
"Thank you, bye",goodbye,6
play on youtube,play on youtube,12
reach by mail to my family,send email,13
tell joke,tell me joke,17
play despacito on youtube today,play on youtube,12
can you find a nice restaurant downtown,places near me,10
This is Adam,"greet and hello hi kind of things, general check in",7
tell me a joke about the sun,tell me joke,17
what's the good news?,tell me news,18
what time is it today,asking time,1
hi google play me playlist wacky in my gaana application,play on youtube,12
what is the weather like now,asking weather,2
find the joke about the orange and the banana,tell me joke,17
what time is it today,asking time,1
what time is it today,asking time,1
play music for me,play on youtube,12
what would be the a perfectly nutritionally balanced meal for dinner,tell me about,16
Quiet,goodbye,6
daily cases of india,covid cases,4
please check whether the email of jancy has come,send email,13
what were the first number of email subjects i got today,send email,13
show me a funny joke,tell me joke,17
screen shot of <name>,take screenshot,15
play music from where you left off,play on youtube,12
what is the best mexican restaurant in seattle,places near me,10
headlines from dhaka tribune,tell me news,18
good bye,goodbye,6
Great thanks! I am Bella,"greet and hello hi kind of things, general check in",7
play let me love you on youtube,play on youtube,12
play games of busybox,play games,11
My user is Bella,"greet and hello hi kind of things, general check in",7
Shut up,goodbye,6
take screenshot,take screenshot,15
i am bored today,i am bored,8
Can you tell me about,tell me about,16
"Thank you, goodbye",goodbye,6
please pause yourself,volume control,19
what time is it today,asking time,1
tell me about today,tell me about,16
What are your functions?,what can you do,20
take screenshot of google,take screenshot,15
please check my gmail for new mail,send email,13
Shut up,goodbye,6
play minecraft,play games,11
wine shop,places near me,10
google search the topic,tell me news,18
which shops can i find in milan,places near me,10
play a party music list,play on youtube,12
please explain again to me.,tell me about,16
download youtube video of <name>,download youtube video,5
play from smashing pumpkins,play on youtube,12
Enough talking,goodbye,6
