text,intent,labels
please pause the song,audio_volume_mute,7
what time is it tomorrow,asking_time,4
what time is it day before tomorrow,asking_time,4
should i bring an umbrella today,weather_query,104
what is the current date time group,datetime_query,22
make me laugh i want to hear a joke,general_joke,33
tell me about my life,tell_me_about,93
Hya there,greeting,41
Great thanks! This is Bella,courtesygreetingresponse,18
tell me about tomorrow,tell_me_about,93
can you turn that down,audio_volume_down,6
set notification from world news,news_query,61
what cd is this song on,music_query,58
will you explain me about the last sentence further please.,general_explain,32
play pacman game with me,play_games,67
elaborate me further on your answer please.,general_explain,32
don't get this.,general_explain,32
start music,play_music,68
send whatsapp message,send_whatsapp_message,85
i am bored what can i do today,i_am_bored,43
Great thanks! This is Bella,courtesygreetingresponse,18
send whatsapp message,send_whatsapp_message,85
Hello how are you?,courtesygreeting,17
covid cases,covid_cases,19
"Thank you, bye",courtesygoodbye,16
what's the good news of stock market,tell_me_news,95
play on youtube,play_on_youtube,69
play neil sedaka,play_music,68
send email to dipesh,send_email,84
volume control unmute,volume_control,103
did i get an email from sarah,email_query,25
tell me about yours,tell_me_about,93
click photo,click_photo,14
joke of the day,general_joke,33
Hola how are you?,courtesygreeting,17
what is the email sent by this contact read,email_query,25
please reduce the speaker volume,audio_volume_down,6
good evening,goodbye,38
can you play a game with me,play_game,66
start a pot of coffee please,iot_coffee,45
please make me a cup of coffee,iot_coffee,45
take screenshot of,take_screenshot,90
where is the nearest smoke shop,recommendation_locations,81
screen shot,take_screenshot,90
Do you know any jokes,jokes,53
make me laugh,tell_me_joke,94
I am feeling bored,i_am_bored,43
slow the volume speaker,audio_volume_down,6
tell me fun joke,tell_me_joke,94
"Thank you, goodbye",courtesygoodbye,16
play baseball with me,play_games,67
status of weather,weather_query,104
Do you know what time it is?,timequery,97
Hello,greeting,41
Bye,goodbye,38
who has covered this song,music_query,58
"Thank you, bye",courtesygoodbye,16
volume control up,volume_control,103
Thanks good bye,courtesygoodbye,16
what is new in politics today can you filter out trump news though,news_query,61
covid cases,covid_cases,19
send whatsapp message to,send_whatsapp_message,85
are there any grocery stores nearby,recommendation_locations,81
"Thank you, goodbye",courtesygoodbye,16
send whatsapp message about <name>,send_whatsapp_message,85
take screenshot of,take_screenshot,90
hey there,greet_and_general_check_in,40
send email to <name> about <name>,send_email,84
i want a coffee now,iot_coffee,45
where is the pharmacy in leavenworth,recommendation_locations,81
How about a joke,jokes,53
pull up my party playlist,play_music,68
please slow down volume of speaker,audio_volume_down,6
send email to dipesh,send_email,84
send whatsapp message,send_whatsapp_message,85
whats the time now,datetime_query,22
play on youtube,play_on_youtube,69
your words was not so clear.,general_explain,32
Quiet,shutup,86
mute the sound,audio_volume_mute,7
Can you tell me the time?,timequery,97
Be quiet,shutup,86
What can you assist me with?,what_can_you_do,105
tell me a dad joke,tell_me_joke,94
send whatsapp message about <name>,send_whatsapp_message,85
play on youtube,play_on_youtube,69
send email to <name> about <name>,send_email,84
what are my newest emails,email_query,25
hello there,greet_and_general_check_in,40
what is the weather like now tomorrow,asking_weather,5
hey there,greet_and_general_check_in,40
make the volume lower,audio_volume_down,6
What can you assist me with?,what_can_you_do,105
what's good news,tell_me_news,95
Hello there,greeting,41
Quiet,shutup,86
hey there,greet_and_general_check_in,40
lower all volume on speakers please,audio_volume_down,6
is it going to be cloudy or sunny today in bangalore,weather_query,104
tell me you,tell_me_about,93
get contact,email_query,25
what is the time in london,datetime_query,22
download youtube video of minecraft,download_youtube_video,23
"Thanks for the help, goodbye",courtesygoodbye,16
play bad guy on youtube,play_on_youtube,69
send whatsapp message,send_whatsapp_message,85
play games of c,play_games,67
Hello,greeting,41
what is the weather today,asking_weather,5
shut up,audio_volume_mute,7
please play the song games by disturbed,play_music,68
take screenshot of google,take_screenshot,90
what's good news today,tell_me_news,95
Do you know what time it is?,timequery,97
lower volume,audio_volume_down,6
I am Bella,greetingresponse,42
tell me weather forecast,weather_query,104
What is the weather like today,asking_weather,5
Can you recommend some places nearby?,places_near_me,64
screen shot of <name>,take_screenshot,90
screen shot of,take_screenshot,90
from which movie is the song,music_query,58
hi there,greet_and_general_check_in,40
How are you doing?,courtesygreeting,17
volume control up,volume_control,103
send whatsapp message,send_whatsapp_message,85
covid cases,covid_cases,19
tell me a clean joke,general_joke,33
volume down,audio_volume_down,6
Hya there,greeting,41
volume down,audio_volume_down,6
day before tomorrow,asking_date,3
places near me to eat today with my friends,places_near_me,64
tell me news,tell_me_news,95
