text,intent,labels
tell me movies playing in oceanside tonight,recommendation_movies,82
please update list with new item,lists_createoradd,54
tell me the area code for jen k,email_querycontact,26
incorrect command.,general_negate,34
update my contacts with the new contact sam@gmail dot com,email_addcontact,24
show various plants in earth,qa_factoid,76
bye,goodbye,38
its too bright in here,iot_hue_lightdim,47
hey,greet_and_general_check_in,40
start the robot vacuum cleaner at one pm today,iot_cleaning,44
play the next episode of drunks and dragons please,play_podcasts,70
this song is amazing is not it,music_likeness,57
please book a taxi for me to go to the railway station,transport_taxi,99
tweet freedom pop customer service i am dissatisfied,social_post,87
olly that would be all.,general_commandstop,29
how do i buy tickets for that,general_quirky,36
what's going on at the capitol,news_query,61
please speak quieter to me,audio_volume_down,6
olly please will you shut up.,general_commandstop,29
i want to listen to classical music,play_music,68
please create a new list for me,lists_createoradd,54
do i need to take an umbrella today,weather_query,104
invite people to the calendar event,calendar_set,11
do you serve for home delivery,takeaway_query,92
twelve am removed,alarm_remove,1
remove that from my list,lists_remove,56
cancels lunch at the restaurant booked for march twenty five,calendar_remove,10
My user is Adam,greetingresponse,42
please turn down the lights to fifty percent in the den,iot_hue_lightdim,47
what does one plus,qa_maths,77
remove alarm of six am on tuesday,alarm_remove,1
whats with my dinner order,takeaway_query,92
"s2, i was unclear about your answers.",general_explain,32
tell me updates,news_query,61
check the current playing music title,music_query,58
please delete the list,lists_remove,56
i want an alarm for three today,alarm_set,2
can you start the coffee,iot_coffee,45
"i would not really know, olly.",general_dontcare,31
set alarm for tomorrow at two pm,alarm_set,2
is jimmie's party on friday cancelled,calendar_query,9
what is mom's email address,email_querycontact,26
"nope, i did not say it.",general_negate,34
check and confirm the instruction please.,general_confirm,30
play melody songs,play_music,68
olly i like you just cancel.,general_commandstop,29
hi please remind the next meeting with my boss it will be at eleven am next monday,calendar_set,11
save this music to my favorites,music_likeness,57
what can i do in charlotte,recommendation_events,80
can i please have a cafe americano,iot_coffee,45
once again clarify me about your answers please.,general_explain,32
please can you check and confirm the details.,general_confirm,30
your understanding was exact.,general_affirm,28
dim the lights a bit,iot_hue_lightdim,47
