text,intent,labels
save settings,music_settings,59
start music,play_music,68
book a train tickets for me,transport_ticket,100
any events this weekend in pondichery,recommendation_events,80
play games of c,play_games,67
any one is okay to me.,general_dontcare,31
add carl's email to my contact,email_addcontact,24
increase the volume,audio_volume_up,8
how is the current traffic between,transport_traffic,101
please increase the brightness in this room,iot_hue_lightup,50
are you sure that is correct.,general_negate,34
is there traffic right now in maiden lane,transport_traffic,101
let us start over.,general_repeat,37
what is the best mexican restaurant in seattle,recommendation_locations,81
what's happening in the news,news_query,61
i need a coffee,iot_coffee,45
please make arrangements to make the hall so brighter,iot_hue_lightup,50
it was a very hectic workday,general_quirky,36
more light,iot_hue_lightup,50
what is the weather tomorrow,asking_weather,5
what is mr taxi's phone number it is in my contacts,email_querycontact,26
use that email address as a contact,email_addcontact,24
shut down the plug,iot_wemo_off,51
please you don't speak in eight to ten pm,audio_volume_mute,7
my facebook update in every three hour should be available,social_query,88
turn the lights down to seven,iot_hue_lightdim,47
would not mind for any one.,general_dontcare,31
tell me starting phrase of this music,music_query,58
switch on smart plug,iot_wemo_on,52
is the four hundred and thirty pm train running late,transport_query,98
"you helped a lot, musch appreciated, olly.",general_praise,35
let's make some popcorn and watch an old movie together,general_quirky,36
divide one thousand five hundred by one hundred and sixty,qa_maths,77
open subway surfers,play_game,66
could you check it.,general_confirm,30
what date is today,datetime_query,22
please create a new list for me,lists_createoradd,54
what is a good place for cruise,recommendation_locations,81
let's play some pong,play_game,66
which was that coldplay song i listened to yesterday evening can you play it again,music_query,58
begin vacuuming,iot_cleaning,44
"that's useful, appreciated, olly.",general_praise,35
i want a train ticket,transport_ticket,100
make me a cup of coffee please,iot_coffee,45
remember this email,email_addcontact,24
remove the guest list i created last week,lists_remove,56
please show me the list that i have,lists_query,55
take milk off my grocery list,lists_remove,56
play audiobook snow white,play_audiobook,65
google find and play florida georgia line the one with nelly,play_music,68
can you turn up the volume on itunes,audio_volume_up,8
find easy recipe for almond milk,cooking_recipe,15
post a facebook status update,social_post,87
book me a train ride,transport_ticket,100
did you get last thing i said correctly?,general_confirm,30
i want a train ticket to oregon,transport_ticket,100
get rid of the five pm alarm,alarm_remove,1
further elaborate me on what you have said please.,general_explain,32
play the next episode of radiolab,play_podcasts,70
"amazing job, you have done well.",general_praise,35
i need to make a grocery list,lists_createoradd,54
new list,lists_createoradd,54
save new email addresses to my contacts,email_addcontact,24
i am not so clear about your answers.,general_explain,32
please list the best clothing shops near me,recommendation_locations,81
cooking recipe,cooking_recipe,15
i challenge you to a game,play_game,66
replay this song i really like it,music_likeness,57
could you just cancel it please.,general_commandstop,29
check stock prices on this,qa_stock,78
tweet at koc your waiting time sucks,social_post,87
what music is it,music_query,58
can you turn off wemo plug socket,iot_wemo_off,51
get news about new foreign policy,news_query,61
channel seventy two point five,play_radio,71
whether it would be sunny in califonia,weather_query,104
once again elaborate me on that.,general_explain,32
area of north america,qa_factoid,76
"i would not bother, olly.",general_dontcare,31
remove set alarm,alarm_remove,1
buy train tickets from delhi to mumbai for twenty third march,transport_ticket,100
brighter,iot_hue_lightup,50
How are you?,courtesygreeting,17
make me a cappuccino,iot_coffee,45
start robot cleaner,iot_cleaning,44
how much is ten euros in dollars,qa_currency,74
Can you see me?,whoami,106
Tell me your name?,namequery,60
play hot ninety seven,play_radio,71
equalize the bass of this music,music_settings,59
how long i can go to dundee,transport_query,98
"that is enough, stop it.",general_commandstop,29
move to the next episode of hipsterhood,play_podcasts,70
tell me lexmark's current stock price,qa_stock,78
how many minutes do i need to wait to pick up my food from china on the go,takeaway_query,92
start podcast,play_podcasts,70
may i know the traffic situation,transport_traffic,101
show trains and time to ny,transport_query,98
how do i make meatloaf,cooking_recipe,15
can you please give me john's email,email_querycontact,26
start the coffee machine,iot_coffee,45
if it's sunrise in stockholm what time is it in okinawa,datetime_convert,21
start the robot vacuum cleaner at one pm today,iot_cleaning,44
dismiss my next event,calendar_remove,10
Can you open the pod bay door,podbaydoor,72
convert one euros to us dollars,qa_currency,74
how many degrees is it in orange tx right now,weather_query,104
please confirm my last instruction.,general_confirm,30
set music system to mute,audio_volume_mute,7
can you set my alarm for seven thirty am,alarm_set,2
move buying eggs item to trash from to do list,lists_remove,56
are there any events on my calendar for this week,calendar_query,9
recommend me a restaurant in west chester,recommendation_locations,81
what is the square root of nine,qa_maths,77
abolish an item from list,lists_remove,56
when is the next train to b street,transport_query,98
remove the grocery list from my active lists,lists_remove,56
what alarms are on right now,alarm_query,0
quick meals,cooking_recipe,15
change the overhead light to orange,iot_hue_lightchange,46
you have done that right appreciated.,general_praise,35
convert ten miles to kilometers,qa_maths,77
how many likes does my status from yesterday have,social_query,88
is it a soft evening tonight,weather_query,104
i would like to listen to my audiobook,play_audiobook,65
list the latest apple stock prices,qa_stock,78
what is this person's contact information,email_querycontact,26
remove the alarm for tomorrow,alarm_remove,1
i need to add this new contact for sam smith ssmith@yahoo dot com,email_addcontact,24
add eggs to the list,lists_createoradd,54
anything is okay with me.,general_dontcare,31
if i call mike in california at six pm what will his time be,datetime_convert,21
tell me one more again please.,general_repeat,37
can you please make me a cup of black coffee,iot_coffee,45
please search for this word,qa_definition,75
look up whether or not charley's steakhouse delivers,takeaway_query,92
set coffee maker to start at three,iot_coffee,45
my coffee is cold please make more coffee,iot_coffee,45
do we have morgan's office's number,email_querycontact,26
bring up all the runner lights,iot_hue_lightup,50
is the balloon festival this weekend,calendar_query,9
volume control decrease,volume_control,103
check and confirm the instruction please.,general_confirm,30
open the radio app,play_radio,71
give details about the current traffic,transport_traffic,101
i need coffee,iot_coffee,45
turn the lights on,iot_hue_lighton,49
could you tell me once again please.,general_repeat,37
open the two towers,play_audiobook,65
i am need my hat today,weather_query,104
keep me updated on the election results,news_query,61
olly would you shut off.,general_commandstop,29
define and describe an ultraviolet ray,qa_definition,75
you have done that perfectly.,general_affirm,28
how is the traffic in florida,transport_traffic,101
olly will you please shut off.,general_commandstop,29
update my contacts with the new contact sam@gmail dot com,email_addcontact,24
run indian folk song,play_music,68
give me petey's telephone number,email_querycontact,26
dolores how was your day,general_quirky,36
call an uber now,transport_taxi,99
make the volume lower,audio_volume_down,6
what are new drama movies opening this weekend,recommendation_movies,82
what is new,news_query,61
lower the lighting,iot_hue_lightdim,47
fuck,swearing,89
you like the song,music_likeness,57
send email to gary,email_sendemail,27
what movie are playing near me,recommendation_movies,82
please tell me some international news,news_query,61
dim the living room lights,iot_hue_lightdim,47
show me my meetings this friday,calendar_query,9
can you explain me further on what you just said.,general_explain,32
add new songs to playlist,lists_createoradd,54
delete list,lists_remove,56
yes you've done your understanding correcly.,general_affirm,28
vacuum the carpet freshener from the carpet,iot_cleaning,44
activate silent,audio_volume_mute,7
increase volume,audio_volume_up,8
order chinese food,takeaway_order,91
tell me about the stock for shell,qa_stock,78
i need a ticket for a train ride to atlanta,transport_ticket,100
"you are the best, thank you so much, olly.",general_praise,35
did you change the wallpaper,general_quirky,36
can you make it a little quieter,audio_volume_down,6
need a hot coffee,iot_coffee,45
what music is being played right now,music_query,58
yes that's correct.,general_affirm,28
start me a new list,lists_createoradd,54
which are well reviewed movies by emma watson,qa_factoid,76
change up the light colors at home,iot_hue_lightup,50
call me at six am,alarm_set,2
what is the time difference between eastern and pacific time zones,datetime_convert,21
what do you mean.,general_explain,32
turn the volume up on music player,audio_volume_up,8
what's the latest news about us election,news_query,61
what is the forecast,weather_query,104
you didn't say my name right.,general_negate,34
vacuum the living room in ten minutes,iot_cleaning,44
make me coffee,iot_coffee,45
create a list for the following,lists_createoradd,54
stock price for apple,qa_stock,78
can you make me a cup of coffee,iot_coffee,45
play me some melody song,play_music,68
what's going on with economy,tell_me_news,95
i would want you to tweet for me at india consumer complaints forum regarding the late delivery of gas cylinder,social_post,87
switch the lights off,iot_hue_lightoff,48
show the playlist,music_query,58
when i will get the delivery,takeaway_query,92
tell me a joke about a man,general_joke,33
tune in to my favorite radio station please,play_radio,71
"s2, i could not quite catch up with you.",general_explain,32
yo order take out from jason's deli on sixth ave,takeaway_order,91
let's play a game of trivia,play_game,66
what alarms are currently set,alarm_query,0
please further elaborate your response.,general_explain,32
how many lists are open,lists_query,55
please book the five pm train to rockville,transport_ticket,100
"you are so helpful, musch appreciated, olly.",general_praise,35
i need an alarm set for five hundred and thirty am tomorrow,alarm_set,2
Hello how are you?,courtesygreeting,17
i need a drink,iot_coffee,45
lower speaker volume,audio_volume_down,6
mute speakers,audio_volume_mute,7
that is excellent.,general_affirm,28
what's a good joke,general_joke,33
radio please,play_radio,71
what ingredients do i need for tomato soup,cooking_recipe,15
ordering food,takeaway_order,91
