text,label
what time of day is it in london,datetime_query
wouldn't bother.,general_dontcare
remove all the events and schedules,calendar_remove
ask if deliver,takeaway_query
can you please explain more on last sentence to me.,general_explain
send email to mom asking about the weather,email_sendemail
please read me my current lists,lists_query
can you book train ticket from mumbai to sangli for tomorrow morning,transport_ticket
fantastic response to the command.,general_affirm
how old are kim kardashian's children,qa_factoid
can you tell me whats on my shopping list,lists_query
please quiet the speaker,audio_volume_mute
turn off socket,iot_wemo_off
play music for me,play_music
"it's helpful, musch appreciated, olly.",general_praise
any events this weekend in pondichery,recommendation_events
enable shuffle,music_settings
show me the time,datetime_query
order two cheeseburgers from wings n. ale on university drive,takeaway_order
show me upcoming events in this area,recommendation_events
any traffic issues today,transport_traffic
explain object,qa_definition
are there any crafts fairs happening in this area,recommendation_events
lets have a break for five minutes,play_audiobook
hey please provide information about events by the end of the day,calendar_query
continue playing my book of vitamins,play_audiobook
by ten to eleven am daily start my vacuum cleaner,iot_cleaning
show me future events,calendar_query
what events are scheduled for me to do today,calendar_query
what is the meaning of this word,qa_definition
set an alarm for next tuesdays meeting,alarm_set
"s1, again clarify your answers please.",general_explain
remove my earliest alarm for tomorrow,alarm_remove
say joke,general_joke
this is one of the best songs for me,music_likeness
"s1, explain more on your response.",general_explain
turns my son's room lights off,iot_hue_lightoff
attenuate the lights,iot_hue_lightdim
play this podcast,play_podcasts
turn off the light of my bed room please,iot_hue_lightoff
tell me a good doctor joke,general_joke
please show me best run program in jodhpur,recommendation_events
will you speak it once again.,general_repeat
change the color of the lights in my house from white to yellow,iot_hue_lightchange
what is this person's contact information,email_querycontact
remove all alarms,alarm_remove
"i think you made mistake, please change this.",general_negate
add event book club debbie's house wednesday night,calendar_set
olly please would you shut off.,general_commandstop
what is my schedule for tomorrow morning,calendar_query
how cold is today,weather_query
call the restaurant to see if the delivery is on the way,takeaway_query
tell me the name of the composer,music_query
have no idea regarding to which to choose.,general_dontcare
set an alarm at six in the morning,alarm_set
be silent for thirty minutes,audio_volume_mute
book me a cab,transport_taxi
can i see my work lists,lists_query
tell me lexmark's current stock price,qa_stock
